,countries,count,code
87,United States,484,USA
23,France,91,FRA
86,United Kingdom,78,GBR
8,Brazil,50,BRA
39,Jamaica,46,JAM
58,Nigeria,34,NGA
32,India,24,IND
38,Italy,23,ITA
12,Canada,21,CAN
56,Netherlands,18,NLD
26,Germany,18,DEU
19,Egypt,14,EGY
82,Turkey,13,TUR
29,Guadeloupe,11,GLP
68,Saudi Arabia,11,SAU
13,China,10,CHN
76,Switzerland,9,CHE
28,Greece,9,GRC
40,Japan,9,JPN
61,Pakistan,8,PAK
25,Georgia,8,GEO
50,Malaysia,8,MYS
27,Ghana,8,GHA
53,Mexico,7,MEX
42,Jordan,7,JOR
66,Qatar,6,QAT
51,Mali,6,MLI
41,Jersey,5,JEY
71,South Africa,5,ZAF
65,Portugal,5,PRT
69,Senegal,5,SEN
55,Morocco,5,MAR
73,Spain,5,ESP
5,Belgium,5,BEL
18,Denmark,5,DNK
1,Australia,4,AUS
57,New Zealand,4,NZL
85,United Arab Emirates,4,ARE
17,Curaçao,4,CUW
81,Tunisia,4,TUN
15,Cote d'Ivoire,4,CIV
79,Togo,4,TGO
72,South Korea,3,KOR
3,Bahrain,3,BHR
10,Burkina Faso,3,BFA
44,Kenya,3,KEN
70,Singapore,3,SGP
16,Cuba,3,CUB
75,Sweden,3,SWE
37,Israel,3,ISR
36,Ireland,3,IRL
45,Kuwait,3,KWT
78,Thailand,2,THA
64,Poland,2,POL
67,Russian Federation,2,RUS
74,Sudan,2,SDN
0,Argentina,2,ARG
89,Zimbabwe,2,ZWE
46,Lebanon,2,LBN
20,England.,2,GBR
2,Austria,2,AUT
14,Congo,2,COG
9,Bulgaria,2,BGR
77,Sénégal.,1,SEN
11,Cameroon,1,CMR
80,Trinidad and Tobago,1,TTO
7,Botswana,1,BWA
22,Estonia,1,EST
83,Uganda,1,UGA
84,Ukraine,1,UKR
6,Benin,1,BEN
4,Bangladesh,1,BGD
88,Zambia,1,ZMB
21,Eritrea,1,ERI
54,Monaco,1,MCO
52,Martinique,1,MTQ
30,Hong Kong,1,HKG
31,Hungary,1,HUN
33,Iran,1,IRN
34,Iran.,1,IRN
35,Iraq,1,IRQ
43,Kazakhstan,1,KAZ
47,Liberia,1,LBR
48,Lithuania,1,LTU
63,Philippines,1,PHL
62,Peru,1,PER
49,Malawi,1,MWI
60,Oman,1,OMN
59,Norway,1,NOR
24,French Guiana,1,GUF
