,source,target,value
71,Jamaica,United Kingdom,12
43,France,Guadeloupe,11
76,United Kingdom,United States,10
104,Jamaica,United States,10
75,Georgia,United States,8
1,India,United States,8
3,France,United States,8
35,Canada,United States,8
77,Brazil,United States,6
73,Italy,United States,6
74,Mexico,United States,6
47,France,Italy,5
57,Turkey,United States,5
44,France,Senegal,5
4,Netherlands,United States,5
37,China,United States,5
46,France,Mali,4
20,Germany,United States,4
42,Japan,United States,4
31,Ghana,Nigeria,4
107,Jersey,United States,4
80,Egypt,United States,4
100,Curaçao,Netherlands,4
36,Canada,France,4
78,Brazil,United Kingdom,3
62,Canada,India,3
60,China,Japan,3
81,Pakistan,United States,3
51,Jordan,Qatar,3
49,Qatar,United States,3
82,France,Pakistan,3
94,France,Switzerland,3
45,Mali,Senegal,3
101,Denmark,United Kingdom,3
116,Canada,Saudi Arabia,3
114,Canada,Germany,3
113,Germany,Saudi Arabia,3
0,Egypt,Saudi Arabia,3
34,Ghana,United Kingdom,3
236,Bahrain,Sudan,2
631,Thailand,United States,2
154,Germany,Switzerland,2
157,Canada,Switzerland,2
158,Japan,Switzerland,2
159,Saudi Arabia,Switzerland,2
160,Switzerland,United States,2
161,Malaysia,Switzerland,2
300,Japan,Saudi Arabia,2
151,Sudan,Switzerland,2
297,Canada,Malaysia,2
296,Canada,Japan,2
182,China,Egypt,2
276,Germany,Malaysia,2
275,France,Germany,2
274,Germany,Japan,2
152,Bahrain,Switzerland,2
150,India,Switzerland,2
257,Bahrain,France,2
149,Egypt,Switzerland,2
301,France,Japan,2
147,China,Switzerland,2
127,England.,United Kingdom,2
124,Australia,Japan,2
121,Netherlands,Switzerland,2
119,Belgium,United States,2
302,Japan,Malaysia,2
305,Saudi Arabia,United States,2
118,New Zealand,United States,2
306,France,Saudi Arabia,2
307,Malaysia,Saudi Arabia,2
310,Malaysia,United States,2
312,France,Malaysia,2
258,Bahrain,Malaysia,2
256,Bahrain,United States,2
233,India,Malaysia,2
230,India,Japan,2
108,Japan,Netherlands,2
224,India,Sudan,2
225,Bahrain,India,2
246,Malaysia,Sudan,2
227,Germany,India,2
245,France,Sudan,2
244,Sudan,United States,2
183,China,India,2
243,Saudi Arabia,Sudan,2
242,Japan,Sudan,2
241,Canada,Sudan,2
238,Germany,Sudan,2
231,India,Saudi Arabia,2
232,France,India,2
221,Egypt,France,2
220,Egypt,Japan,2
250,Bahrain,Germany,2
219,Canada,Egypt,2
216,Egypt,Germany,2
253,Bahrain,Canada,2
214,Bahrain,Egypt,2
254,Bahrain,Japan,2
213,Egypt,Sudan,2
193,China,Malaysia,2
192,China,France,2
191,China,Saudi Arabia,2
190,Canada,China,2
187,China,Germany,2
185,Bahrain,China,2
184,China,Sudan,2
255,Bahrain,Saudi Arabia,2
222,Egypt,Malaysia,2
212,Egypt,India,2
97,Egypt,Qatar,2
26,France,Tunisia,2
11,Denmark,United States,2
59,Singapore,United Kingdom,2
25,Australia,United States,2
61,Germany,United Kingdom,2
50,Kuwait,United States,2
24,Australia,Netherlands,2
28,Nigeria,United States,2
2,Canada,Jamaica,2
19,Germany,Netherlands,2
18,Australia,Germany,2
9,Australia,Denmark,2
7,Denmark,Germany,2
10,Denmark,Netherlands,2
58,Nigeria,Zimbabwe,2
79,Australia,Switzerland,2
72,Canada,United Kingdom,2
55,Saudi Arabia,United Arab Emirates,2
38,Malaysia,United Kingdom,2
91,Germany,Kenya,2
54,Saudi Arabia,Sweden,2
5,France,Netherlands,2
53,Kuwait,Qatar,2
52,Jordan,Kuwait,2
48,Jordan,United States,2
527,Austria,Italy,1
528,Denmark,Japan,1
526,Italy,Kazakhstan,1
529,Denmark,Morocco,1
668,Peru,Singapore,1
524,Italy,Mexico,1
525,Italy,Peru,1
523,Italy,Malaysia,1
508,Austria,Canada,1
509,Denmark,Italy,1
510,Italy,Japan,1
511,Italy,Morocco,1
512,Italy,Ukraine,1
513,Italy,Saudi Arabia,1
514,Italy,Russian Federation,1
515,Italy,Netherlands,1
516,Italy,New Zealand,1
517,Italy,Thailand,1
518,Italy,Singapore,1
519,Hungary,Italy,1
520,Italy,United Arab Emirates,1
521,Italy,Turkey,1
522,Australia,Italy,1
530,Denmark,Ukraine,1
536,Denmark,Hungary,1
531,Denmark,Saudi Arabia,1
552,Japan,United Arab Emirates,1
546,Japan,Ukraine,1
547,Japan,Russian Federation,1
548,Japan,New Zealand,1
549,Japan,Thailand,1
550,Japan,Singapore,1
551,Hungary,Japan,1
553,Japan,Turkey,1
544,Austria,Denmark,1
554,Japan,Mexico,1
555,Japan,Peru,1
556,Japan,Kazakhstan,1
557,Austria,Japan,1
558,Morocco,Ukraine,1
559,Morocco,Saudi Arabia,1
545,Japan,Morocco,1
543,Denmark,Kazakhstan,1
532,Denmark,Russian Federation,1
538,Denmark,Turkey,1
533,Denmark,New Zealand,1
534,Denmark,Thailand,1
535,Denmark,Singapore,1
506,Canada,Peru,1
714,Austria,Kazakhstan,1
537,Denmark,United Arab Emirates,1
713,Austria,Peru,1
710,France,Kazakhstan,1
539,Denmark,Malaysia,1
540,Denmark,Mexico,1
712,Kazakhstan,Peru,1
541,Denmark,France,1
542,Denmark,Peru,1
711,Austria,France,1
507,Canada,Kazakhstan,1
503,Canada,Turkey,1
505,Canada,Mexico,1
504,Australia,Canada,1
447,Philippines,Turkey,1
448,Australia,Philippines,1
449,Malaysia,Philippines,1
450,Mexico,Philippines,1
451,France,Philippines,1
452,Peru,Philippines,1
453,Kazakhstan,Philippines,1
454,Austria,Philippines,1
455,Belgium,Germany,1
456,Germany,Italy,1
457,Germany,Morocco,1
458,Germany,Ukraine,1
459,Germany,Russian Federation,1
460,Germany,New Zealand,1
461,Germany,Thailand,1
462,Germany,Singapore,1
463,Germany,Hungary,1
446,Philippines,United Arab Emirates,1
445,Hungary,Philippines,1
444,Philippines,Singapore,1
434,Denmark,Philippines,1
427,Bahrain,Peru,1
428,Bahrain,Kazakhstan,1
429,Austria,Bahrain,1
430,Germany,Philippines,1
431,Belgium,Philippines,1
432,Canada,Philippines,1
433,Italy,Philippines,1
435,Japan,Philippines,1
443,Philippines,Thailand,1
436,Morocco,Philippines,1
437,Philippines,Ukraine,1
438,Philippines,Saudi Arabia,1
439,Philippines,Russian Federation,1
440,Netherlands,Philippines,1
441,Philippines,United States,1
442,New Zealand,Philippines,1
464,Germany,United Arab Emirates,1
465,Germany,Turkey,1
466,Germany,Mexico,1
495,Canada,Ukraine,1
488,Belgium,France,1
489,Belgium,Peru,1
490,Belgium,Kazakhstan,1
491,Austria,Belgium,1
492,Canada,Italy,1
493,Canada,Denmark,1
494,Canada,Morocco,1
496,Canada,Russian Federation,1
486,Belgium,Malaysia,1
497,Canada,Netherlands,1
498,Canada,New Zealand,1
499,Canada,Thailand,1
500,Canada,Singapore,1
501,Canada,Hungary,1
502,Canada,United Arab Emirates,1
561,Morocco,Netherlands,1
487,Belgium,Mexico,1
485,Australia,Belgium,1
467,Germany,Peru,1
475,Belgium,Ukraine,1
468,Germany,Kazakhstan,1
469,Austria,Germany,1
470,Belgium,Canada,1
471,Belgium,Italy,1
472,Belgium,Denmark,1
473,Belgium,Japan,1
474,Belgium,Morocco,1
476,Belgium,Saudi Arabia,1
484,Belgium,Turkey,1
477,Belgium,Russian Federation,1
478,Belgium,Netherlands,1
479,Belgium,New Zealand,1
480,Belgium,Thailand,1
481,Belgium,Singapore,1
482,Belgium,Hungary,1
483,Belgium,United Arab Emirates,1
560,Morocco,Russian Federation,1
