,countries,counts
0,United States,23447
1,China,8157
2,United Kingdom,7819
3,Japan,5766
4,India,5493
5,Germany,3208
6,Italy,2832
7,Australia,2419
8,France,2401
9,Canada,1992
10,Spain,1689
11,Turkey,1367
12,South Korea,1216
13,Denmark,1211
14,Netherlands,944
15,Singapore,925
16,Brazil,924
17,Poland,900
18,Switzerland,895
19,Sweden,791
20,Iran,728
21,Saudi Arabia,712
22,Austria,672
23,Egypt,659
24,Israel,649
25,"Taiwan, Province of China",644
26,Portugal,605
27,Mexico,570
28,Pakistan,542
29,Hong Kong,511
30,Belgium,492
31,Malaysia,485
32,Finland,466
33,Russian Federation,432
34,Greece,403
35,Thailand,361
36,Ireland,338
37,Hungary,332
38,New Zealand,320
39,Georgia,270
40,Indonesia,269
41,Romania,263
42,Czechia,256
43,South Africa,241
44,Norway,207
45,Argentina,193
46,United Arab Emirates,191
47,Croatia,187
48,Nigeria,154
49,Ukraine,147
50,Tunisia,138
51,Peru,132
52,Iraq,131
53,Bangladesh,130
54,Jersey,128
55,Lebanon,119
56,Qatar,115
57,Colombia,114
58,Morocco,112
59,Jordan,112
60,Ethiopia,111
61,Slovenia,106
62,Slovakia,97
63,Serbia,95
64,Chile,89
65,Bulgaria,81
66,Nepal,77
67,Iceland,72
68,Philippines,69
69,Mongolia,63
70,Kuwait,61
71,Oman,57
72,Sri Lanka,56
73,Algeria,53
74,Kenya,46
75,Bosnia and Herzegovina,46
76,Puerto Rico,46
77,Viet Nam,43
78,Costa Rica,42
79,Bahrain,42
80,Mali,41
81,Cameroon,40
82,Lithuania,37
83,"Venezuela, Bolivarian Republic of",33
84,Sudan,29
85,Ghana,28
86,Macao,28
87,Cuba,28
88,Jamaica,28
89,Azerbaijan,25
90,Congo,24
91,Malawi,23
92,North Macedonia,23
93,Cyprus,22
94,Latvia,21
95,Ecuador,21
96,Uganda,20
97,Senegal,19
98,Malta,18
99,Rwanda,17
100,Trinidad and Tobago,17
101,Benin,17
102,Yemen,17
103,Luxembourg,15
104,Barbados,14
105,Armenia,14
106,Estonia,13
107,Uzbekistan,13
108,Kazakhstan,13
109,Paraguay,11
110,Zimbabwe,10
111,Mauritius,10
112,Fiji,10
113,Belarus,9
114,Zambia,8
115,Syrian Arab Republic,8
116,Libya,8
117,Cote d'Ivoire,8
118,Uruguay,8
119,Montenegro,7
120,Botswana,7
121,Greenland,7
122,Dominica,7
123,Panama,7
124,Guinea,6
125,Bhutan,6
126,Madagascar,6
127,Brunei Darussalam,6
128,Albania,6
129,Dominican Republic,5
130,Guadeloupe,5
131,Réunion,5
132,Myanmar,5
133,Mozambique,5
134,Burkina Faso,5
135,Aruba,4
136,Papua New Guinea,4
137,Martinique,4
138,Samoa,3
139,Solomon Islands,3
140,Tonga,3
141,Afghanistan,3
142,Guatemala,3
143,French Guiana,3
144,Liberia,2
145,Montserrat,2
146,Timor-Leste,2
147,San Marino,2
148,Kiribati,2
149,Chad,2
150,Suriname,2
151,Lesotho,2
152,Vanuatu,2
153,Maldives,2
154,Namibia,2
155,Nauru,2
156,New Caledonia,2
157,Antigua and Barbuda,2
158,Seychelles,2
159,Angola,2
160,Republic of Korea,2
161,Saint Kitts and Nevis,2
162,Grenada,2
163,Cambodia,1
164,Gibraltar,1
165,Belize,1
166,El Salvador,1
167,Eritrea,1
168,French Polynesia,1
169,Gabon,1
170,Saint Lucia,1
171,Guernsey,1
172,Guyana,1
173,Togo,1
174,Haiti,1
175,Krakowie,1
176,Kyrgyzstan,1
177,Monaco,1
178,Somalia,1
179,Niger,1
180,Northern Mariana Islands,1
181,Palau,1
182,Honduras,1
