,countries,Funding,counts
0,Algeria,ASEM,1
1,Algeria,Abbott Laboratories,1
2,Algeria,AstraZeneca,2
3,Algeria,AstraZeneca Pharma Poland,1
4,Algeria,Boehringer Ingelheim,3
5,Algeria,Eli Lilly and Company,3
6,Algeria,"European Research Council, ERC",1
7,Algeria,"Federación Española de Enfermedades Raras, FEDER",1
8,Algeria,Generalitat de Catalunya,1
9,Algeria,Health and Sciences Departments of the Catalan Government,1
10,Algeria,"Instituto de Salud Carlos III, ISCIII",1
11,Algeria,"Japan Society for the Promotion of Science, JSPS",1
12,Algeria,Merck,1
13,Algeria,"Merck Sharp and Dohme, MSD",1
14,Algeria,Novartis,2
15,Algeria,Novo Nordisk,3
16,Algeria,NovoNordisk,1
17,Algeria,NovoNordisk and Sanofi,1
18,Algeria,Pfizer,2
19,Algeria,RecerCaixa Foundation,1
20,Algeria,Roche,1
21,Algeria,Sanofi,3
22,Algeria,Servier,3
23,Argentina,"Agencia Córdoba Ciencia, ACC",2
24,Argentina,"Agencia Nacional de Promoción Científica y Tecnológica, ANPCyT",6
25,Argentina,Allergan,1
26,Argentina,Altsheler Durell Foundation,1
27,Argentina,Amgen,1
28,Argentina,Arevalo-Coutinho Foundation for Research in Ophthalmology,1
29,Argentina,Argentine Diabetes Society,1
30,Argentina,Asociación para Evitar la Ceguera en México,1
31,Argentina,AstraZeneca,2
32,Argentina,"Austrian Science Fund, FWF",1
33,Argentina,Azienda Ospedaliero Universitaria Pisana,1
34,Argentina,Bayer,2
35,Argentina,"Bayer Fund, BF",1
36,Argentina,Berlin-Chemie AG/Menarini Group,1
37,Argentina,Beyeonics Surgical,1
38,Argentina,Boehringer Ingelheim,2
39,Argentina,"Boehringer Ingelheim, BI",1
40,Argentina,Buenos Aires,2
41,Argentina,"Bundesministerium für Digitalisierung und Wirtschaftsstandort, BMDW",1
42,Argentina,CICPBA,1
43,Argentina,"Center for Global Partnership, CGP",1
44,Argentina,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas, CIEMAT",1
45,Argentina,"Chinese University of Hong Kong, CUHK",2
46,Argentina,"Christian Doppler Forschungsgesellschaft, CDG",1
47,Argentina,"Collaboration for Leadership in Applied Health Research and Care - Greater Manchester, NIHR CLAHRC Greater Manchester",1
48,Argentina,Comisión de Investigaciones Científicas de la Prov,1
49,Argentina,"Consejo Nacional de Investigaciones Científicas y Técnicas, CONICET",7
50,Argentina,"Consejo de Desarrollo Cient?fico, Human?stico y Tecnol?gico",1
51,Argentina,"Consejo de Desarrollo Científico, Humanístico y Tecnológico, Universidad del Zulia, CONDES",1
52,Argentina,"Consejo de Desarrollo Científico, Humanístico, Tecnológico y de las Artes, Universidad de Los Andes Venezuela, CDCHT, ULA",1
53,Argentina,Consejo de Investigaciones Científicas y Tecnológicas,1
