,Funding,counts
5535,"National Institutes of Health, NIH",849
5407,"National Eye Institute, NEI",707
6574,"Research to Prevent Blindness, RPB",471
5598,"National Natural Science Foundation of China, NSFC",432
5490,"National Institute of Diabetes and Digestive and Kidney Diseases, NIDDK",325
5876,Novartis,191
5448,"National Heart, Lung, and Blood Institute, NHLBI",149
5915,Novo Nordisk,140
5556,"National Key Research and Development Program of China, NKRDPC",128
702,Bayer,127
6617,Roche,110
4013,"Juvenile Diabetes Research Foundation International, JDRF",110
549,AstraZeneca,109
298,Allergan,108
2901,Genentech,107
6774,Sanofi,106
5440,"National Health and Medical Research Council, NHMRC",100
357,"American Diabetes Association, ADA",97
5331,"National Center for Advancing Translational Sciences, NCATS",93
2260,Eli Lilly and Company,92
5343,"National Center for Research Resources, NCRR",92
5512,"National Institute on Aging, NIA",91
7952,"U.S. Department of Veterans Affairs, VA",90
902,Boehringer Ingelheim,90
4702,"Medical Research Council, MRC",84
2348,"European Commission, EC",81
5475,"National Institute for Health Research, NIHR",77
5496,"National Institute of General Medical Sciences, NIGMS",69
5326,"National Cancer Institute, NCI",69
4017,"Juvenile Diabetes Research Foundation United States of America, JDRF",69
6231,Pfizer,67
5921,"Novo Nordisk Fonden, NNF",65
5505,"National Institute of Neurological Disorders and Stroke, NINDS",64
7979,"UCL Institute of Ophthalmology, University College London",64
3696,"Instituto de Salud Carlos III, ISCIII",62
8551,"Wellcome Trust, WT",61
5036,Moorfields Eye Hospital NHS Foundation Trust,59
2363,"European Regional Development Fund, ERDF",58
4777,Merck,56
1978,"Deutsche Forschungsgemeinschaft, DFG",54
6906,"Science and Technology Commission of Shanghai Municipality, STCSM",54
2694,"Foundation Fighting Blindness, FFB",52
5523,National Institutes of Health,50
5477,"National Institute for Health and Care Research, NIHR",49
1633,"Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq",48
906,"Boehringer Ingelheim, BI",48
7679,"Takeda Pharmaceutical Company, TPC",48
373,"American Heart Association, AHA",46
1650,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES",45
5639,"National Science Foundation, NSF",45
3413,"Horizon 2020 Framework Programme, H2020",44
1271,"Centers for Disease Control and Prevention, CDC",42
1178,Carl Zeiss Meditec AG,40
535,Astellas Pharma,39
942,"BrightFocus Foundation, BFF",39
7048,"Seventh Framework Programme, FP7",38
4756,Medtronic,38
1420,China Postdoctoral Science Foundation,38
3024,"GlaxoSmithKline, GSK",37
8435,"Vetenskapsrådet, VR",37
1133,"Canadian Institutes of Health Research, CIHR",37
983,"Bundesministerium für Bildung und Forschung, BMBF",35
5691,Natural Science Foundation of Jiangsu Province,35
100,Abbott Laboratories,34
4801,"Meso Scale Diagnostics, MSD",34
397,Amgen,33
2839,"Fundação para a Ciência e a Tecnologia, FCT",33
5011,"Mitsubishi Tanabe Pharma Corporation, MTPC",33
3867,"Japan Society for the Promotion of Science, KAKEN",32
6040,"Oklahoma Center for the Advancement of Science and Technology, OCAST",32
3837,Janssen Pharmaceuticals,32
6798,Santen,32
2563,Fight for Sight UK,32
4643,"Massachusetts Lions Eye Research Fund, MLERF",31
1752,Daiichi-Sankyo,31
2565,"Fight for Sight, FFS",31
2033,Diabetes UK,31
960,"British Heart Foundation, BHF",31
949,"Bristol-Myers Squibb, BMS",30
3740,"International Retinal Research Foundation, IRRF",30
7779,Thomas Foundation,30
2811,Fundamental Research Funds for the Central Universities,29
125,"Academy of Finland, AKA",29
2614,Folkhälsanin Tutkimussäätiö,29
4883,"Ministerio de Economía y Competitividad, MINECO",28
1924,Department of Ophthalmology,28
3866,"Japan Society for the Promotion of Science, JSPS",27
5629,"National Research Foundation of Korea, NRF",27
713,"Bayer Fund, BF",27
1756,Dainippon Sumitomo Pharma,27
5709,"Natural Science Foundation of Zhejiang Province, ZJNSF",27
2253,Eli Lilly Japan,26
905,Boehringer Ingelheim Japan,25
2359,"European Foundation for the Study of Diabetes, EFSD",25
6489,Regeneron Pharmaceuticals,25
92,AbbVie,24
4324,"Landelijke Stichting voor Blinden en Slechtzienden, LSBS",24
