,Journal,Document Type,counts
5621,Investigative ophthalmology and visual science,Article,1406
9605,Retina,Article,859
3385,Diabetes care,Article,814
8374,Ophthalmology,Article,794
952,American journal of ophthalmology,Article,723
2057,British journal of ophthalmology,Article,692
8771,Plos one,Article,602
3480,Diabetic medicine,Article,597
3409,Diabetes research and clinical practice,Article,583
4554,Graefe's archive for clinical and experimental ophthalmology,Article,578
5225,International eye science,Article,560
3339,Diabetes,Article,527
629,Acta ophthalmologica,Article,525
3504,Diabetologia,Article,520
6141,Journal of diabetes and its complications,Article,474
5466,International journal of ophthalmology,Article,449
1380,Archives of ophthalmology,Article,432
6872,Journal of the japan diabetes society,Article,406
3959,European journal of ophthalmology,Article,386
4239,Folia ophthalmologica japonica,Article,376
5772,Japanese journal of clinical ophthalmology,Article,363
9987,Scientific reports,Article,359
4076,Experimental eye research,Article,331
4150,Eye (basingstoke),Article,329
7084,Klinische monatsblatter fur augenheilkunde,Article,326
8361,Ophthalmologica,Article,299
3077,Current eye research,Article,292
6383,Journal of japanese ophthalmological society,Article,289
4240,Folia ophthalmologica japonica,Conference paper,280
2714,Clinical ophthalmology,Article,272
5567,International ophthalmology,Article,269
5050,Indian journal of ophthalmology,Article,263
1918,Bmc ophthalmology,Article,255
569,Acta diabetologica,Article,254
6158,Journal of diabetes research,Article,213
10806,Vestnik oftalmologii,Article,208
10635,Translational vision science and technology,Article,202
5748,Jama ophthalmology,Article,202
5782,Japanese journal of ophthalmology,Article,199
5858,Journal francais d'ophtalmologie,Article,197
7199,Lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics),Conference paper,189
8330,Ophthalmic research,Article,185
4319,Frontiers in endocrinology,Article,181
2183,Canadian journal of ophthalmology,Article,178
7758,Molecular vision,Article,176
6071,Journal of clinical medicine,Article,172
2114,"Bulletin des societes d""ophtalmologie de france",Article,172
11027,Zhonghua shiyan yanke zazhi/chinese journal of experimental ophthalmology,Article,169
7078,Klinika oczna,Article,167
8395,Ophthalmology retina,Article,158
8341,Ophthalmic surgery lasers and imaging retina,Article,153
2566,Clinical and experimental ophthalmology,Article,152
5446,International journal of molecular sciences,Review,152
4144,Eye,Article,147
3593,Documenta ophthalmologica,Article,145
