,Year,1 country,2 countries,> 2 countries
0,1941,0,1,0
1,1944,1,0,0
2,1946,0,0,0
3,1947,1,0,0
4,1948,0,1,0
5,1949,2,1,0
6,1950,0,0,0
7,1951,3,0,0
8,1952,0,1,0
9,1953,2,0,0
10,1954,4,1,1
11,1955,6,0,0
12,1956,1,4,0
13,1957,4,2,0
14,1958,1,5,0
15,1959,5,3,0
16,1960,7,1,0
17,1961,5,3,0
18,1962,6,4,0
19,1963,18,7,0
20,1964,21,8,1
21,1965,19,9,0
22,1966,34,4,0
23,1967,32,12,4
24,1968,21,9,2
25,1969,15,3,1
26,1970,25,14,1
27,1971,37,17,0
28,1972,49,11,0
29,1973,144,13,1
30,1974,188,13,0
31,1975,195,20,3
32,1976,189,21,1
33,1977,184,8,2
34,1978,198,19,3
35,1979,215,22,3
36,1980,242,30,6
37,1981,220,34,4
38,1982,242,30,4
39,1983,243,41,2
40,1984,245,24,7
41,1985,305,29,14
42,1986,294,43,7
43,1987,302,36,12
44,1988,361,34,4
45,1989,383,45,6
46,1990,471,60,9
47,1991,448,52,12
48,1992,467,66,8
49,1993,482,87,16
50,1994,465,84,11
51,1995,555,89,18
52,1996,611,123,32
53,1997,631,104,23
54,1998,609,99,29
55,1999,566,135,31
56,2000,633,108,35
57,2001,693,128,44
58,2002,712,130,38
59,2003,816,191,65
60,2004,889,200,93
61,2005,977,231,84
62,2006,970,216,78
63,2007,1106,238,95
64,2008,1145,279,106
65,2009,1152,334,125
66,2010,1237,334,144
67,2011,1293,350,195
68,2012,1463,386,166
69,2013,1526,414,192
70,2014,1556,423,218
71,2015,1669,437,249
72,2016,1790,512,275
73,2017,1958,546,275
74,2018,2013,547,340
75,2019,2327,578,394
76,2020,2700,707,429
77,2021,3204,816,503
78,2022,3359,775,524
79,2023,2075,531,371
80,2024,4,0,0
