,Funding,counts
177,"National Heart, Lung, and Blood Institute, NHLBI",70
173,"National Eye Institute, NEI",64
191,"National Institutes of Health, NIH",47
247,"Research to Prevent Blindness, RPB",30
270,"U.S. Public Health Service, USPHS",7
288,"Wellcome Trust, WT",7
182,"National Institute of Diabetes and Digestive and Kidney Diseases, NIDDK",5
166,"National Center for Advancing Translational Sciences, NCATS",5
67,"Doris Duke Charitable Foundation, DDCF",5
156,"Medical Research Council, MRC",5
101,"Fundação de Amparo à Pesquisa do Estado de São Paulo, FAPESP",5
125,"Institut National de la Santé et de la Recherche Médicale, Inserm",4
74,EY1792/EY/NEI NIH HHS/United StatesHL15168-13/HL/NHLBI NIH HHS/United States,4
104,Genentech,4
187,National Institutes of Health,4
53,"Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq",4
153,Marrus Family Foundation,3
201,Novartis,3
230,Pfizer,3
94,"Foundation Fighting Blindness, FFB",3
171,National Eye Institute of the National Institutes of Health,3
218,P30 EY001792/EY/NEI NIH HHS/United StatesR01 EY023522/EY/NEI NIH HHS/United StatesR01 EY024628/EY/NEI NIH HHS/United States,3
175,"National Heart and Lung Institute, NHLI",3
202,"Novartis Pharmaceuticals Corporation, NPC",3
165,"National Cancer Institute, NCI",3
194,"National Science Foundation, NSF",3
193,"National Research Foundation of Korea, NRF",3
123,Illinois Society for the Prevention of Blindness,2
90,"Fondation pour la Recherche Médicale, FRM",2
167,"National Center for Research Resources, NCRR",2
159,"Ministry of Science, ICT and Future Planning, MSIP",2
72,EY 1792/EY/NEI NIH HHS/United StatesHL 15168/HL/NHLBI NIH HHS/United States,2
169,National Eye Institute,2
77,Edward N. and Della L. Thome Memorial Foundation,2
233,R01 EY027301/EY/NEI NIH HHS/United StatesR01 HL159116/HL/NHLBI NIH HHS/United States,2
142,Laboratory of Excellence GR‐Ex,2
225,PHS,2
91,Fondazione Città della Speranza,2
51,Comprehensive Sickle Cell Center,2
92,"Fondo para la Investigación Científica y Tecnológica, FonCyT",2
176,"National Heart, Lung, and Blood Institute",2
185,"National Institute of Neurological Disorders and Stroke, NINDS",2
196,New York Eye and Ear Infirmary Foundation,2
105,Geraldine Violett Foundation,2
108,Global Blood Therapeutics,2
116,"Horizon 2020 Framework Programme, H2020",2
183,"National Institute of General Medical Sciences, NIGMS",2
81,European Haematology Association,2
40,Caribbean Health Research Council Meetings,2
31,British Society for Haematology,2
17,American Society of Hematology,2
37,Canada Research Chairs,2
267,"U.S. Department of Defense, DOD",2
7,"Agence Nationale de la Recherche, ANR",2
269,"U.S. Department of Veterans Affairs, VA",2
206,"Obafemi Awolowo University Teaching Hospitals Complex, Ile-Ife",1
205,Obafemi Awolowo University Teaching Hospital,1
192,National Research Foundation of Korea,1
282,"Victoria University, VU",1
281,Veterans Administration Hospital,1
195,"Nederlandse Organisatie voor Wetenschappelijk Onderzoek, NWO",1
210,Ontario Ministry of Health,1
280,VA Research,1
197,"New York Eye and Ear Infirmary of Mount Sinai, NYEE",1
279,"Universitätsklinikum Regensburg, UKR",1
198,Norges Forskningsråd,1
278,"University of Missouri, MU",1
209,"Office of Research and Development, ORD",1
208,Office of Medical Student Research,1
199,NorthShore University HealthSystem,1
200,Northwestem University School of Medicine,1
190,National Institutes of Health National Institute of Diabetes and Digestive and Kidney Diseases,1
277,"University of Illinois, UofI",1
276,"University of Illinois at Chicago, UIC",1
203,"Novo Nordisk Fonden, NNF",1
204,Obafemi Awolowo University Hospital,1
275,"University of Colorado, CU",1
207,Obafemi Awolowo University/,1
283,Vitalant Research Institute,1
257,Sickle Pan African Research Consortium,1
274,University Children’s Hospital Basel,1
189,"National Institutes of Health National Heart, Lung, and Blood Institute",1
298,"vel Superior, CAPES",1
297,oamento de Pessoal de N&#x00ED,1
296,o de Aperfei&#x00E7,1
168,National Eye,1
295,ZonMw,1
294,Z99 HL999999/Intramural NIH HHS/United States,1
170,National Eye Institute Core,1
293,Yale University,1
172,"National Eye Institute, Bethesda, MD",1
292,"Wise Family Foundation, New York Eye and Ear Chairman",1
174,National Eye Institutes,1
291,Wise Family Foundation,1
